Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics
MNI_MNI.img	MTG_L	11467	42.0110	184.9396	104.5385	24.6310	
MNI_MNI.img	MTG_R	11814	39.5691	196.4624	103.8740	23.7627	
MNI_MNI.img	ITG_L	8511	26.3075	176.5476	100.2007	25.2791	
MNI_MNI.img	ITG_R	10443	26.1262	176.6090	104.5303	24.6259	
MNI_MNI.img	Limbic_L	1672	72.7076	184.1131	118.9613	20.6492	
MNI_MNI.img	Limbic_R	1916	60.6621	191.2651	122.5892	22.5349	
MNI_MNI.img	FuG_L	15543	25.3128	189.3166	103.0100	25.2713	
MNI_MNI.img	FuG_R	15829	30.5538	185.5229	104.7245	22.7402	
MNI_MNI.img	SOG_L	2449	56.8674	200.2987	120.7753	25.5038	
MNI_MNI.img	SOG_R	2333	42.4753	177.5459	115.7366	23.4048	
MNI_MNI.img	MOG_L	12171	34.7337	173.0822	107.8193	25.9833	
MNI_MNI.img	MOG_R	11994	28.9083	182.1651	107.3940	24.6369	
MNI_MNI.img	IOG_L	3669	38.2849	173.3936	105.6950	26.3209	
MNI_MNI.img	IOG_R	5087	31.4360	164.1537	102.9446	24.5839	
MNI_MNI.img	Cu_L	5731	37.6796	175.0360	114.1165	24.8872	
MNI_MNI.img	Cu_R	5203	39.6312	184.8370	112.5671	23.8835	
MNI_MNI.img	LG_L	9959	25.2750	182.6626	108.4518	25.9155	
MNI_MNI.img	LG_R	10553	24.8784	177.0329	107.8771	24.5225	
MNI_MNI.img	Cingulate_L	26015	25.9378	186.6449	104.0726	23.7386	
MNI_MNI.img	Cingulate_R	28167	26.7758	191.7183	100.9783	23.0951	
MNI_MNI.img	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img	Amyg_L	1806	76.2051	172.0664	111.2090	14.9650	
